order	step_id	status
1	STEP5_AUDIT_PROVENANCE_CLOSURE	CLOSED
2	GATE6_EVIDENCE_BINDING	CLOSED
3	TYPE_BOOLEAN_CONTRACT_CLEANUP	CLOSED
4	MANDATORY_REAL_JSONSCHEMA_RELEASE_GATE	CLOSED
5	INDEX_GENERIC_SOURCE_SKELETON_GENERATOR	CLOSED
6	SOURCE_BLOCK_REGENERATION_PARITY	CLOSED
7	FSTEC_AND_CORPORATE_INDEX_EXPANSION_DISPOSITIONS	NEXT
8	APPLY_RESTORE_SEMANTIC_CONTRACT	BLOCKED_BY_PREVIOUS
9	IMPLEMENTATION_ADAPTERS	BLOCKED_BY_PREVIOUS
10	DETERMINISTIC_BUILD	BLOCKED_BY_PREVIOUS
11	SINGLE_DISTRIBUTABLE_SECURELINUX_NG_SH	BLOCKED_BY_PREVIOUS
